ðiː the
ˈproʊ.ɡræm programme
dʒɔɪn joined
ˈɪn.pʊt input
ˈstræt̬.ə.dʒi strategy
fiːt feet
ˈeɪ.dʒənt agent
ˈvæl.ɪd valid
bɪn bin
ˈmɑː.dɚn modern
ˈsiː.njɚ senior
ˈaɪr.lənd ireland
ˈsek.si sexy
dɔːr door
ɡrænd grand
ˈtes.tɪŋ testing
traɪəl trial
tʃɑːrdʒ charge
ɪnˈsted instead
kəˈneɪ.di.ən canadian
kuːl cool
ˈnɔːr.məl normal
roʊt wrote
ˈen.t̬ɚ.praɪz enterprise
ɪnˈtaɪr entire
ˌedʒ.əˈkeɪ.ʃən.əl educational
ˌemˈdiː md
ˈliː.dɪŋ leading
ˈmet̬.əl metal
ˈpɑː.zə.t̬ɪv positive
ˈfɪt.nəs fitness
tʃaɪˈniːz chinese
əˈpɪn.jən opinion
ˌemˈbiː mb
ˈeɪ.ʒə asia
ˈfʊt.bɑːl football
ˈæb.strækt abstract
ˈaʊt.pʊt output
ˈfʌndz funds
ˈmɪs.tɚ mr
ˈɡreɪ.t̬ɚ greater
ˈlaɪ.kli likely
dɪˈvel.əp develop
ɑːlˈtɝː.nə.t̬ɪv alternative
ˈprɑː.ses.ɪŋ processing
rɪˌspɑːn.səˈbɪl.ə.t̬i responsibility
ˌrez.əˈluː.ʃən resolution
ˈdʒɑː.və java
ɡest guest
ˌpʌb.ləˈkeɪ.ʃən publication
pæs pass
trʌst trust
væn van
ˈseʃ.ən session
fəˈtɑː.ɡrə.fi photography
rəˈpʌb.lɪk republic
veɪˈkeɪ.ʃən vacation
ˈsen.tʃər.i century
ˌæk.əˈdem.ɪk academic
əˈsɪs.təns assistance
kəmˈpliːt completed
skɪn skin
ˈɡræf.ɪks graphics
ˈɪn.di.ən indian
ɪkˈspek.tɪd expected
rɪŋ ring
ɡreɪd grade
deɪt dating
pəˈsɪf.ɪk pacific
ˈmaʊn.tən mountain
pɑːp pop
ˈfɪl.tɚ filter
ˈviː.ə.kəl vehicle
kənˈsɪd.ɚ consider
ˈnɔːr.ðɚn northern
bɪˈhaɪnd behind
ˈpæn.əl panel
flɔːr floor
ˈdʒɝː.mən german
mætʃ match
prəˈpoʊzd proposed
dɪˈfɑːlt default
rɪˈkwaɪr require
ɪˈræk iraq
ˈaʊtˌdɔːr outdoor
diːp deep
ˈmɔːr.nɪŋ morning
ˈʌð.ɚ.waɪz otherwise
rest rest
ˈproʊ.tiːn protein
plænt plant
rɪˈpɔːr.t̬ɪd reported
hɪt hit
ˌtræn.spɚˈteɪ.ʃən transportation
puːl pool
ˈmɪn.i mini
ˈpɑː.lə.tɪks politics
ˈpɑːrt.nɚ partner
dɪˈskleɪ.mɚ disclaimer
ˈfæk.əl.t̬i faculty
fɪʃ fish
ˈmem.bɚ.ʃɪp membership
ˈmɪʃ.ən mission
aɪ eye
strɪŋ string
sens sense
pæk pack
rɪˈliːs released
steɪdʒ stage
ɪnˈtɝː.nəl internal
ɡʊdz goods
ˌrek.əˈmen.dɪd recommended
bɔːrn born
ənˈles unless
ˈdiː.teɪld detailed
ˌdʒæp.ənˈiːz japanese
reɪs race
əˈpruːvd approved
ˈbæk.ɡraʊnd background
ˈtɑːr.ɡɪt target
ɪkˈsept except
ˈker.ək.tɚ character
ˌjuː.esˈbiː usb
ˈmeɪn.tən.əns maintenance
əˈbɪl.ə.t̬i ability
ˈmeɪ.bi maybe
ˌiː ˈdiː ed
ˈmuː.vɪŋ moving
ˈprɪt̬.i pretty
speɪn spain
ˈsʌð.ɚn southern
jʊrˈself yourself
ˈwɪn.t̬ɚ winter
reɪp rape
ˈbæt̬.ɚ.i battery
juːθ youth
ˈpreʃ.ɚ pressure
ˈbɑː.stən boston
ˈɪn.sest incest
det debt
ˈmiː.di.əm medium
ˈtel.ə.vɪʒ.ən television
ˈɪn.trɪ.stɪd interested
kɔːr core
breɪk break
θruːˈaʊt throughout
dæns dance
wʊd wood
ɪtˈself itself
dɪˈfaɪn defined
ˈpeɪ·pərz papers
pleɪ playing
fiː fee
ˈstuː.di.oʊ studio
ˈriː.dɚ reader
ˈvɝː.tʃu.əl virtual
dɪˈvaɪs device
ɪˈstæb.lɪʃt established
rent rent
rɪˈmoʊt remote
dɑːrk dark
ˈproʊ.ɡræm.ɪŋ programming
ɪkˈstɝː.nəl external
ˈæp.əl apple
rɪˈɡɑːr.dɪŋ regarding
ɪnˈstrʌk·ʃənz instructions
ˈɑː.fɚ offered
ˈθɪr.i theory
ɪnˈdʒɔɪ enjoy
rɪˈmuːv remove
eɪd aid
ˈsɝː- surface
ˈmɪn.ə.məm minimum
ˈvɪʒ.u.əl visual
hoʊst host
vəˈraɪ.ə.t̬i variety
ˌaɪ.es.biːˈen isbn
ˈmɑːr.t̬ən martin
ˈmæn.ju.əl manual
blɑːk block
ɪnˈkriːs increased
rɪˈper repair
fer fair
ˈsɪv.əl civil
stiːl steel
ˌʌn.dɚˈstæn.dɪŋ understanding
fɪkst fixed
rɑːŋ wrong
bɪˈɡɪn.ɪŋ beginning
ˈfaɪ.nəl.i finally
ˈdesk.tɑːp desktop
ˈper.ɪs paris
oʊˈhaɪ.oʊ ohio
ˈsek.tɚ sector
kəˈpæs.ə.t̬i capacity
ˈdʒɝː.zi jersey
fæt fat
ˈfʊl.i fully
ˈfɑː.ðɚ father
iˈlek.trɪk electric
sɑː saw
ˈɑː.fɪ.sɚ officer
ˈdraɪ.vɚ driver
ded dead
rɪˈspekt respect
ʌnˈnoʊn unknown
ˈspes.ə.faɪ specified
ˈres.tə.rɑːnt restaurant
maɪk mike
trɪp trip
wɝːθ worth
pʊr poor
ˈtiː.tʃɚ teacher
rɪˈleɪ.ʃən.ʃɪp relationship
fɑːrm farm
ˈfʌk.ɪŋ fucking
ˈdʒɔːr.dʒə georgia
piːs peace
trəˈdɪʃ.ən.əl traditional
ˈkæm.pəs campus
tɑːm tom
ˈʃoʊ.ɪŋ showing
kriˈeɪ.t̬ɪv creative
koʊst coast
ˈben.ə.fɪt benefit
ˈprɑː.ɡres progress
ˈfʌn.dɪŋ funding
lɔːrd lord
ɡrænt grant
sʌb sub
əˈɡriː agree
ˈfɪk.ʃən fiction
hɪr hear
ˈsʌm.taɪmz sometimes
kəˈrɪrz careers
biˈjɑːnd beyond
ɡoʊz goes
led led
mjuːˈziː.əm museum
ðəmˈselvz themselves
fæn fan
ˈtræn.spɔːrt transport
ˈɪn.trɪ.stɪŋ interesting
waɪf wife
ɪˌvæl.juˈeɪ.ʃən evaluation
əkˈsep.tɪd accepted
ˈfɔːr.mɚ former
ˌɪm.plə.menˈteɪ.ʃən implementation
ten ten
zoʊn zone
kɑːmˈpleks complex
kæt cat
daɪ die
prɪˈzent presented
dʒæk jack
flæt flat
floʊ flow
ˈlɪt̬.ɚ.ə.tʃɚ literature
rɪˈspek.tɪv respective
ˈper.ənt parent
ˈspæn.ɪʃ spanish
ˈmɪʃ.ɪ.ɡən michigan
ˈset̬.ɪŋ setting
ˈdɑk·tər dr
skeɪl scale
stænd stand
iˈkɑː.nə.mi economy
ˈhelp.fəl helpful
ˈmʌn.θli monthly
ˈkrɪt̬.ɪ.kəl critical
freɪm frame
ˈmjuː.zɪ.kəl musical
ˌdef.ɪˈnɪʃ.ən definition
ˈsek.rə.ter.i secretary
ˈnet.wɝː.kɪŋ networking
pæθ path
ɑːˈstreɪl.jən australian
ɪmˈplɔɪ.iː employee
tʃiːf chief
ˈbɑː.t̬əm bottom
dɪˈteɪl detail
tʃeɪndʒd changed
pet pet
bɪˈɡɪn begin
ˌkɑː.ləˈrɑː.doʊ colorado
ˈrɔɪ.əl royal
kliːn clean
swɪtʃ switch
ˈrʌʃ.ən russian
ˈæf.rɪ.kən african
ɡaɪ guy
ˈrel.ə.vənt relevant
ˈdʒʌs.tɪs justice
kəˈnekt connect
ˈbaɪ.bəl bible
kʌp cup
ˈbæs.kət basket
əˈplaɪd applied
ˈwiː.kli weekly
ˌɪn.stəˈleɪ.ʃən installation
dɪˈskraɪb described
dɪˈmænd demand
swiːt suite
skwer square
əˈten.ʃən attention
ədˈvæns advance
skɪp skip
ˈdaɪ.ət diet
ˈɑːr.mi army
ˈɑːk.ʃən auction
ɡɪr gear
liː lee
ɑːs os
ˈdɪf.ɚ.əns difference
əˈlaʊ allowed
kəˈrekt correct
ˈneɪ.ʃən nation
piːs piece
ʃiːt sheet
fɝːm firm
ˈsev.ən seven
ˌɪl.ɪˈnɔɪ illinois
ˈel·ə·mənts elements
ˈspiː.ʃiːz species
dʒʌmp jump
ˈmɑː.dʒuːl module
rɪˈzɔːrt resort
fəˈsɪl.ə.t̬i facility
ˈræn.dəm random
ˈpraɪ.sɪŋ pricing
sɚˈtɪf.ə.kət certificate
ˈmɪn.ə.stɚ minister
ˈmoʊ.ʃən motion
ˈfæʃ.ən fashion
ˌdɑː.kjə.menˈteɪ.ʃən documentation
ˈmɑː.nə.t̬ɚ monitor
ˈtreɪ.dɪŋ trading
ˈfɔːr.ɪst forest
huːz whose
ˈkʌv.ɚ.ɪdʒ coverage
ˈkʌp.əl couple
tʃæns chance
ˈvɪʒ.ən vision
bɑːl ball
ˈen.dɪŋ ending
ˈlɪs.ən listen
dɪˈskʌs discuss
əkˈsept accept
ˌɑː.t̬əˈmoʊ.t̬ɪv automotive
ˈneɪ.kɪd naked
ɡoʊl goal
səkˈses.fəl successful
soʊld sold
wɪnd wind
ˈklɪn.ɪ.kəl clinical
ˌsɪtʃ.uˈeɪ.ʃən situation
ˈhaɪ.li highly
ˈpʌb.lɪʃ.ɪŋ publishing
əˈpɪr appear
ɪˈmɝː.dʒən.si emergency
dɪˈvel.ə.pɪŋ developing
laɪvz lives
ˈkɝː.ən.si currency
ˈleð.ɚ leather
dɪˈtɝː.mɪn determine
mɪlf milf
ˈtem.pɚ.ə.tʃɚ temperature
pɑːm palm
ˈpeɪ.ʃənt patient
ˈæk.tʃu.əl actual
hɪˈstɔːr.ɪ.kəl historical
stoʊn stone
bɑːb bob
ˈkɑː.mɝːs commerce
pɚˈhæps perhaps
ˈdɪf.ə.kəlt difficult
ˌsaɪənˈtɪf.ɪk scientific
ˈsæt̬.əl.aɪt satellite
fɪt fit
ˈvɪl.ɪdʒ village
əˈkaʊnts accounts
ˈæm.ə.tʃɚ amateur
eks ex
met met
peɪn pain
pɚˈtɪk.jə.lɚ.li particularly
ˈkɑː.fi coffee
ˈdʌb.əl.juːˌdʌb.əl.juːˈdʌb.əl.juː www
ˈbaɪ.ɚ buyer
ˈkʌl.tʃɚ.əl cultural
ˈiː.zəl.i easily
ˈɔːr.əl oral
fɔːrd ford
ˈpoʊ.stɚ poster
edʒ edge
ˈfʌŋk.ʃən.əl functional
ruːt root
kloʊzd closed
aɪs ice
pɪŋk pink
ˈbæl.əns balance
ˈmɑː.nə.t̬ɚ monitoring
ˈɡrædʒ.u.ət graduate
ʃɑːt shot
ˈɑːr.kə.tek.tʃɚ architecture
ɪˈnɪʃ.əl initial
ˈleɪ.bəl label
ˈθɪŋ.kɪŋ thinking
ˌel.elˈsiː llc
ˌrek.əˈmend recommend
ˈkæn.ən canon
liːɡ league
weɪst waste
ˈmɪn.ɪt minute
bʌs bus
prəˈvaɪ.dɚ provider
ˈɑːp.ʃən.əl optional
ˈdɪk.ʃən.er.i dictionary
koʊld cold
əˈkaʊn.t̬ɪŋ accounting
ˌmæn.jəˈfæk.tʃɚ.ɪŋ manufacturing
tʃer chair
ˈfɪʃ.ɪŋ fishing
ˈef.ɚt effort
feɪz phase
bæɡ bag
ˈfæn.tə.si fantasy
ˌpiːˈoʊ po
ˈmoʊ.t̬ɚ motor
prəˈfes.ɚ professor
ˈkɑːn.tekst context
ɪnˈstɑːl install
ʃɝːt shirt
əˈper.əl apparel
ˈdʒen.ə r.əl.i generally
kənˈtɪn.juːd continued
fʊt foot
mæs mass
kraɪm crime
kaʊnt count
brest breast
ˈkwɪk.li quickly
rɪˈlɪdʒ.ən religion
kleɪm claim
ˈdraɪ.vɪŋ driving
pɚˈmɪʃ.ən permission
ˈsɝː.dʒər.i surgery
pætʃ patch
hiːt heat
waɪld wild
ˌdʒen.əˈreɪ.ʃən generation
ˈkæn.zəs kansas
mɪs miss
ˈkem.ɪ.kəl chemical
ˈdɑːk.tɚ doctor
tæsk task
rɪˈduːs reduce
brɑːt brought
hɪmˈself himself
nɔːr nor
kəmˈpoʊ.nənt component
ɪˈneɪ.bəl enable
ˈek.sɚ.saɪz exercise
bʌɡ bug
mɪd mid
ˌɡer.ənˈtiː guarantee
ˈliː.dɚ leader
ˈdaɪ.ə.mənd diamond
ˈɪz.reɪl israel
sɑːft soft
əˈloʊn alone
ˈsek·əndz seconds
dʒoʊnz jones
ˌer.ɪˈzoʊ.nə arizona
ˈkiː.wɝːd keyword
flaɪt flight
ˈkɑːŋ.ɡres congress
ˈfjuː.əl fuel
ˈjuː.zɚ.neɪm username
wɑːk walk
fʌk fuck
prəˈduːs produced
ɪˈtæl.jən italian
ˈpeɪ.pɚ.bæk paperback
weɪt wait
səˈpɔːrt supported
ˈpɑː.kɪt pocket
seɪnt saint
roʊz rose
ˈfriː.dəm freedom
ˈɑːrɡ.jə.mənt argument
ˌkɑːm.pəˈtɪʃ.ən competition
kriˈeɪt creating
dʒɔɪnt joint
ˈpriː.mi.əm premium
freʃ fresh
əˈtɝː.ni attorney
ʌpˈɡreɪd upgrade
ˌdiːˈaɪ di
ˈfæk.tɚ factor
ˈɡroʊ.ɪŋ growing
striːm stream
pɪk pick
ˈhɪr.ɪŋ hearing
ˈiː.stɚn eastern
ˈθer.ə.pi therapy
ˈdʒen.ə.reɪt generated
saɪn signed
ˈʌp.ɚ upper
ədˈmɪn.ə.strə.t̬ɪv administrative
ˈsɪr.i.əs serious
praɪm prime
ˈlɪm.ɪt limit
bɪˈɡæn began
ˈbɑːn.dɪdʒ bondage
ɪnˈfɔːrmd informed
ˌeɪˈsiː ac
kriːk creek
ˌefˈtiː ft
wɝːk worked
ˈkwɑːn.t̬ə.t̬i quantity
ˈɝː.bən urban
ˈsɔːr.t̬ɪd sorted
rɪˈpɔːr.t̬ɪŋ reporting
ɪˈsen.ʃəl essential
maɪˈself myself
ˈplæt.fɔːrm platform
loʊd load
əˈfɪl.i.eɪt affiliate
ˈleɪ.bɚ labor
ɪˈmiː.di.ət.li immediately
ˈnɝː.sɪŋ nursing
dɪˈfens defense
ˈdez.ɪɡ.neɪt designated
ˈhev.i heavy
rɪˈkʌv.ɚ.i recovery
ˈɪn.t̬ə.ɡreɪ.t̬ɪd integrated
kənˌfɪɡ.jəˈreɪ.ʃən configuration
kɑːk cock
ˈmɝː.tʃənt merchant
ˌkɑːm.prəˈhen.sɪv comprehensive
ˈek.spɝːt expert
ˌjuː.nəˈvɝː.səl universal
prəˈtekt protect
drɑːp drop
ˈsɑː.lɪd solid
ˌprez.ənˈteɪ.ʃən presentation
bɪˈkeɪm became
ˈɔːr.ɪndʒ orange
prɪˈvent prevent
θiːm theme
rɪtʃ rich
ˌaɪˈem im
kæmˈpeɪn campaign
məˈriːn marine
ɪmˈpruːv.mənt improvement
ɡɪˈtɑːr guitar
ˈfaɪn.dɪŋ finding
ˌpen.səlˈveɪ.ni.ə pennsylvania
ˈaɪ.pɑːd ipod
ˈseɪ.ɪŋ saying
ˈspɪr.ət spirit
ˈtʃæl.ɪndʒ challenge
əkˈsep.təns acceptance
moʊ mo
siːm seem
tʌtʃ touch
ɪnˈten.dɪd intended
tɔːrdz towards
haɪr hire
iˈlek.ʃən election
səˈdʒest suggest
bræntʃ branch
sɝːv serve
ˈmædʒ.ɪk magic
maʊnt mount
smɑːrt smart
tɑːk talking
ɡeɪv gave
ˈlæt̬.ɪn latin
ˌmʌl.tiˈmiː.di.ə multimedia
əˈvɔɪd avoid
ˈsɝː.t̬ə.faɪd certified
ˈmæn.ədʒ manage
ˈkɔːr.nɚ corner
ræŋk rank
kəmˈpjuː.t̬ɪŋ computing
ˈɔːr.ɪ.ɡən oregon
ˈel.ə.mənt element
bɝːθ birth
ˈvaɪ.rəs virus
əˈbjuːz abuse
ˌɪn.t̬ɚˈræk.tɪv interactive
ˈsep.ɚ.ət separate
ˈkwɔːr.t̬ɚ quarter
prəˈsiː.dʒɚ procedure
ˈliː.dɚ.ʃɪp leadership
dɪˈfaɪn define
ˈreɪ.sɪŋ racing
ˈbrek.fəst breakfast
ˈkɑː.ləm column
feɪθ faith
tʃeɪn chain
dɪˈvel.ə.pɚ developer
aɪˈden.t̬ə.faɪ identify
ˈæv.ə.nuː avenue
ˈmɪs.ɪŋ missing
əˈprɑːk.sə.mət.li approximately
dəˈmes.tɪk domestic
muːvd moved
ˈhjuː.stən houston
riːtʃ reach
kəmˈper.ɪ.sən comparison
-t̬əl mental
vjuː viewed
ˈmoʊ.mənt moment
ɪkˈsten.dɪd extended
ɪntʃ inch
əˈtæk attack
ˈsɔːr.i sorry
ˈoʊp.nɪŋ opening
ˈdæm.ɪdʒ damage
læb lab
rɪˈzɝːv reserve
ˈɡæm.ə gamma
ˈplæs.tɪk plastic
prəˈduːs produce
snoʊ snow
pleɪs placed
truːθ truth
ˈkaʊn.t̬ɚ counter
ˈfeɪ.ljɚ failure
ˈwiːk.end weekend
ˈdɑː.lɚ dollar
kæmp camp
ɑːnˈter.i.oʊ ontario
ˌɑː.t̬əˈmæt̬.ɪ.kəl.i automatically
mɪn.ɪˈsoʊ.t̬ə minnesota
brɪdʒ bridge
ˈneɪ.t̬ɪv native
fɪl fill
ˈmuːv.mənt movement
ˈprɪn.t̬ɪŋ printing
ˈbeɪs.bɑːl baseball
əˈpruː.vəl approval
dræft draft
tʃɑːrt chart
pleɪ played
ˌsiːˈsiː cc
klʌbz clubs
ˌel.siːˈdiː lcd
ˈiː.kwəl equal
ədˈven.tʃɚ adventure
ˈmætʃ.ɪŋ matching
ˈɑː.fɚ.ɪŋ offering
ˈprɑː.fɪt profit
əˈsɪs.tənt assistant
ˈver.i.ə.bəl variable
ˌdiːˈdʒeɪ dj
æd.vɝːˈtaɪz.mənt advertisement
ɪkˈspekt expect
ˈpɑːr.kɪŋ parking
ˈjes.tɚ.deɪ yesterday
kəmˈper compared
dɪˈtɝː.mɪnd determined
ˈhoʊl.seɪl wholesale
ˈwɝːk.ʃɑːp workshop
ˈrʌʃ.ə russia
ɡɑːn gone
ɪkˈsten.ʃən extension
siˈæt̬.əl seattle
ˈɡoʊl.dən golden
kəmˈpliːt.li completely
fɔːrt fort
ˈlaɪ.t̬ɪŋ lighting
ˈsen.ət senate
ˈfʌn.i funny
ˈbrʌð.ɚ brother
dʒiːn gene
tɝːn turned
ˈpɔːr.t̬ə.bəl portable
traɪd tried
iˈlek.trɪ.kəl electrical
əˈplɪk.ə.bəl applicable
dɪsk disc
rɪˈtɝːn returned
ˈpæt̬.ɚn pattern
ˌsiːˈtiː ct
boʊt boat
neɪm named
ˈθiː.ə.t̬ɚ theatre
ˈleɪ.zɚ laser
ˈspɑːn.sɚ sponsor
ˈklæs.ɪ.kəl classical
ˈaɪ.kɑːn icon
ˈwɔːr.ən.t̬i warranty
ˈded.ə.keɪ.t̬ɪd dedicated
ˌɪn.diˈæn.ə indiana
daɪˈrek.ʃən direction
ˈher.i harry
ˈbæs.kət.bɑːl basketball
dɪˈliːt delete
ˈiːv.nɪŋ evening
əˈsem.bli assembly
ˈnuː.kliː.ɚ nuclear
maʊs mouse
ˈsɪɡ.nəl signal
ˈkrɪm.ə.nəl criminal
ˈɪʃ.uː issued
breɪn brain
wɪˈskɑːn.sən wisconsin
ˈpaʊ.ɚ.fəl powerful
driːm dream
əbˈteɪn obtained
fɑːls false
ˌdiːˈeɪ da
kæst cast
ˈflaʊ.ɚ flower
felt felt
ˌpɝː.sənˈel personnel
pæs passed
səˈplaɪ supplied
aɪˈden.t̬ə.faɪ identified
fɔlz falls
pɪk pic
soʊl soul
eɪdz aids
prəˈmoʊt promote
steɪt stated
həˈwaɪ.iː hawaii
ˈker.i carry
flæɡ flag
dɪˈsaɪ.dɪd decided
ˌeɪtʃˈɑːr hr
ədˈvæn.t̬ɪdʒ advantage
heˈloʊ hello
meɪnˈteɪn maintain
ˈtʊr.ɪ.zəm tourism
praɪˈɔːr.ə.t̬i priority
ˈseɪ·vɪŋz savings
ˌaɪˈviː iv
ˈɡræf.ɪk graphic
ˈæt̬.əm atom
ˈes.tə.meɪ.t̬ɪd estimated
ˈbaɪn.dɪŋ binding
briːf brief
end ended
ˈwɪn.ɪŋ winning
eɪt eight
əˈnɑː.nə.məs anonymous
aɪrn iron
streɪt straight
skrɪpt script
sɝːv served
ˌmɪs.əlˈeɪ.ni.əs miscellaneous
prɪˈperd prepared
vɔɪd void
daɪn dining
əˈlɝːt alert
ˌɪn.t̬əˈɡreɪ.ʃən integration
ətˈlæn.t̬ə atlanta
tæɡ tag
ˈɪn.t̬ɚ.vjuː interview
mɪks mix
ˈfreɪm.wɝːk framework
dɪsk disk
ɪnˈstɑːl installed
kwiːn queen
ˌviː.eɪtʃˈes vhs
ˈkred·ɪts credits
ˈklɪr.li clearly
fɪks fix
ˈhæn.dəl handle
swiːt sweet
desk desk
ˌmæs.əˈtʃuː.sɪts massachusetts
vaɪs vice
əˈsoʊ.ʃi.eɪt associate
trʌk truck
bɪˈheɪ.vjɚ behavior
ɪnˈlɑːrdʒ enlarge
reɪ ray
ˈfriː.kwənt.li frequently
ˈrev.ə.nuː revenue
ˈmeʒ.ɚ measure
ˈtʃeɪn.dʒɪŋ changing
ˈduː.t̬i duty
lʊk looked
ber bear
ɡeɪn gain
ˈfes.tə.vəl festival
ˈlæb.rə.tɔːr.i laboratory
ˈoʊ.ʃən ocean
læk lack
depθ depth
ˈaɪ.ə.wə iowa
wɑːˈt̬ev.ɚ whatever
ˈlæp.tɑːp laptop
ˈvɪn.t̬ɪdʒ vintage
treɪn train
ɪɡˈzækt.li exactly
draɪ dry
ɪkˈsplɔːr explore
ˈmer.ə.lənd maryland
spɑː spa
ˈkɑːn.sept concept
ˈnɪr.li nearly
ˈel.ə.dʒə.bəl eligible
ˈtʃek.aʊt checkout
riˈæl.ə.t̬i reality
ˈhænd.lɪŋ handling
ˈɔːr.ə.dʒɪn origin
nuː knew
ˈɡeɪ.mɪŋ gaming
ˈbɪl.jən billion
ˌdes.təˈneɪ.ʃən destination
ˈskɑːt.lənd scotland
ɪnˈtel.ə.dʒəns intelligence
ˈdæl.əs dallas
bɑːt bought
kɑːn con
ruːt route
ˈfɑː.loʊ followed
ˈbroʊ.kən broken
fræŋk frank
əˈlæs.kə alaska
zuːm zoom
bloʊ blow
ˈbæt̬.əl battle
ˌrez.əˈden.ʃəl residential
ˈæn.ə.meɪ anime
spiːk speak
ˈproʊ.t̬ə.kɑːl protocol
ˈkwɪr.i query
klɪp clip
ˈpɑːrt.nɚ.ʃɪp partnership
ˌed.əˈtɔːr.i.əl editorial
ɪkˈspreʃ.ən expression
ˈek.wə.t̬i equity
spiːtʃ speech
waɪr wire
ˈrʊr.əl rural
ʃerd shared
rɪˈpleɪs.mənt replacement
teɪp tape
strəˈtiː.dʒɪk strategic
dʒʌdʒ judge
spæm spam
ˌiː.kəˈnɑː.mɪks economics
ˈæs.ɪd acid
sent cent
fɔːrst forced
kəmˈpæt̬.ə.bəl compatible
faɪt fight
əˈpɑːrt.mənt apartment
haɪt height
ˈzɪr.oʊ zero
ˈspiː.kɚ speaker
faɪl filed
ˌdʒiːˈbiː gb
əbˈteɪn obtain
ˌbiːˈsiː bc
kənˈsʌl.t̬ɪŋ consulting
ˌrek.riˈeɪ.ʃən recreation
dɪˈzaɪ.nɚ designer
rɪˈmeɪn remain
ˈmæn.ədʒ managed
ˌpiːˈɑːr pr
feɪld failed
ˈmer.ɪdʒ marriage
roʊl roll
kəˈriː.ə korea
ˈsiː.krət secret
bæθ bath
ˌeɪˈeɪ aa
ˈneɡ.ə.t̬ɪv negative
təˈrɑːn.t̬oʊ toronto
ˈθiː.ə.t̬ɚ theater
mɪˈzʊr.i missouri
ˌviː.eɪˈɑːr var
pɚˈfɔːrm perform
ˈhel.θi healthy
trænsˈleɪ.ʃən translation
fɑːnt font
ˈɪn.dʒər.i injury
ˈmɪn.ə.stri ministry
ˈlɑː.jɚ lawyer
ˈmer.id married
prəˈtek.tɪd protected
prəˈpoʊ.zəl proposal
ʃer sharing
ˌfɪl.əˈdel.fi.ə philadelphia
ˈpɔːr.t̬əl portal
weɪt waiting
ˈbɝːθ.deɪ birthday
ˈbeɪ.t̬ə beta
feɪl fail
ˈɡræt̬.ɪs gratis
ˈbæŋ.kɪŋ banking
tɔːrd toward
wʌn won
ˈslaɪt.li slightly
əˈsɪst assist
kənˈdʌkt conduct
kənˈteɪn contained
ˌlɑːn.ʒəˈreɪ lingerie
ˌledʒ.əˈsleɪ.ʃən legislation
ˈkɑː.lɪŋ calling
dʒæz jazz
ˈsɝː.vɪŋ serving
maɪˈæm.i miami
dɑːk doc
ˈpoʊ.stəl postal
ten.əˈsiː tennessee
wer wear
kənˈtroʊlz controls
ˈʌl.tə.mət ultimate
weɪlz wales
ˌrep.rɪˈzen.t̬ə.t̬ɪv representative
ˈfriː.kwən.si frequency
ˌɪn.trəˈduːs introduced
ˈmaɪ.nɚ minor
ˈfɪn.ɪʃ finish
ˈnoʊ.t̬ɪd noted
dɪˈspleɪ displayed
mɑːm mom
rɪˈduːst reduced
ˈfɪz.ɪks physics
rer rare
spent spent
pɚˈfɔːrm performed
ɪkˈstriːm extreme
rɪˈvjuː reviewed
roʊ row
ɑːz oz
ˈfɔːr.kæst forecast
rɪˈmuːvd removed
ˈsɪŋ·ɡəlz singles
ədˈmɪn.ə.streɪ.t̬ɚ administrator
ˈsaɪ.kəl cycle
kənˈteɪn contain
ˈæk.jɚ.ə.si accuracy
ˈduː.əl dual
raɪz rise
sliːp sleep
bɝːd bird
ˈfɑːr.mə.si pharmacy
brəˈzɪl brazil
kriˈeɪ.ʃən creation
ˈstæt̬.ɪk static
siːn scene
ˈhʌn.t̬ɚ hunter
ˈleɪ.di lady
ˈkrɪs.təl crystal
ˈfeɪ.məs famous
ˈraɪ.t̬ɚ writer
ˈtʃer.mən chairman
ˈvaɪə.ləns violence
oʊ.kləˈhoʊ.mə oklahoma
drɪŋk drink
əˈkæd.ə.mi academy
daɪˈnæm.ɪk dynamic
ˈdʒen.dɚ gender
iːt eat
ˈpɝː.mə.nənt permanent
ˈæɡ.rə.kʌl.tʃɚ agriculture
del dell
ˈkliː.nɪŋ cleaning
ˌpɔːrtˈfoʊ.li.oʊ portfolio
ˈpræk.tɪ.kəl practical
dɪˈlɪv.ɚ delivered
ˈɪn.frəˌstrʌk.tʃɚ infrastructure
ɪkˈskluː.sɪv exclusive
siːt seat
ˈkʌl.ɚ colour
ˈven.dɚ vendor
əˈrɪdʒ.ən.əl.i originally
ˈɪn.tel intel
fɪˈlɑː.sə.fi philosophy
ˌreɡ.jəˈleɪ.ʃən regulation
rɪˈdʌk.ʃən reduction
eɪm aim
nuːˈtrɪʃ.ən nutrition
rɪˈkɔːr.dɪŋ recording
ˈdʒuː.njɚ junior
toʊl toll
keɪp cape
ˈmiː.nɪŋ meaning
tɪp tip
ˈsek.ən.der.i secondary
ˈwʌn.dɚ.fəl wonderful
maɪn mine
ˈtɪk.ɪt ticket
əˈnaʊns announced
ɡes guess
əˈɡriːd agreed
prɪˈven.ʃən prevention
huːm whom
skiː ski
ˈsɑː.kɚ soccer
mæθ math
ˈɪm.pɔːrt import
ˈpoʊ.stɪŋ posting
ˈprez.əns presence
ˈɪn.stənt instant
ˈmen.ʃən mentioned
ˌɑː.t̬əˈmæt̬.ɪk automatic
ˈhelθ.ker healthcare
ˈvjuː.ɪŋ viewing
meɪnˈteɪn maintained
